Timestamp_PC (s),DeltaT_uC (ms),DeltaT_uC (s),Acel_X (m/s²),Acel_Y (m/s²),Acel_Z (m/s²)
4.234,12,0.012,0.0,0.009577,9.758765
4.240,11,0.011,0.0,0.009577,9.758765
4.243,11,0.011,0.009576,0.009577,9.720458
4.243,12,0.012,0.009576,0.009577,9.720458
4.254,11,0.011,0.019153,0.0,9.730035
4.257,11,0.011,0.019153,0.02873,9.758765
4.262,12,0.012,0.019153,0.02873,9.758765
4.266,11,0.011,0.047884,0.028731,9.749189
4.266,11,0.011,0.047884,0.028731,9.749189
4.378,11,0.011,0.0,0.028731,9.749189
4.383,12,0.012,0.0,0.028731,9.749189
4.387,11,0.011,0.009576,0.009577,9.749189
4.391,11,0.011,0.009576,0.009577,9.768342
4.396,12,0.012,0.009576,0.009577,9.768342
4.399,11,0.011,0.038307,0.038308,9.730035
4.399,11,0.011,0.038307,0.038308,9.730035
4.408,12,0.012,0.019153,0.019154,9.758765
4.413,11,0.011,0.019153,0.019154,9.758765
4.418,11,0.011,0.009577,0.047885,9.758765
4.423,11,0.011,0.009577,0.047885,9.758765
4.428,12,0.012,0.009576,0.057461,9.758765
